"","APP","PI","MC","RU"
"353233",0.01425,0.0460000000000003,0.0181249999999999,0.000374999999999993
"354481",0.0252500000000002,0.00824999999999994,0.0219999999999999,0.000624999999999998
"354564",0.9525,0.634,0.996375,0.9055
"354885",0.007625,0.0133750000000001,0.327374999999999,0.0286249999999995
"358534",0.000749999999999989,0.00949999999999996,0.0302499999999999,0.00087500000000002
"359156",0.99975,0.99675,0.992625,0.983
"359550",0.0112499999999997,0.00575000000000005,0.00124999999999995,0.000249999999999984
"360948",0.998125,0.96625,0.95875,0.993625
"361250",0.98075,0.992625,0.9955,0.937625
"364484",0.000250000000000017,0.0240000000000002,0.000750000000000002,0.00475000000000018
"365182",0.16825,0.172125,0.956375,0.418
"366620",0.0035,0.0691250000000002,0.00200000000000002,0.203875000000002
"367447",0.0201249999999999,0.00587500000000016,0.0403750000000002,0.0349999999999999
"367804",0.000124999999999986,0.0121249999999999,0.0481249999999997,0.00675000000000008
"368009",0.994875,0.564375000000001,0.95525,0.061
"368669",0.9915,0.95275,0.9615,0.999125
"369598",0.99525,0.8275,0.814875,0.768499999999999
"369714",0.99975,0.975375,0.996,0.743125
"369821",0.000124999999999995,0.0115000000000001,0.00575000000000005,0.00112499999999998
"370275",0.00412499999999992,0.00137500000000003,0.72275,0.02875
"373147",0.9955,0.920875,0.634249999999999,0.581875000000001
"374977",0.255374999999999,0.0477499999999999,0.0343749999999999,0.000374999999999993
"375080",1,0.99175,0.9925,0.7405
"375846",0,0.0104999999999999,0.00250000000000004,0.000250000000000014
"376654",0.9995,0.981125,0.9765,0.9985
"377211",0.189375000000001,0.0238749999999999,0.414,0.00287500000000001
"377260",0.190250000000001,0.1745,0.9185,0.32075
"377524",0.996125,0.91275,0.510999999999999,0.0523749999999999
"377802",0.991125,0.98225,0.977875,0.462875
"377860",0.10825,0.628375,0.00462500000000007,0.00674999999999999
"379116",0.99975,0.998375,0.998375,0.999125
"379230",0.000500000000000028,0.002,0.00887500000000008,0.000374999999999991
"379921",0.989875,0.957625,0.932375,0.986125
"379967",0.998375,0.962,0.974125,0.99025
"380685",0.0266250000000005,0.0104999999999997,0.313750000000001,0.00187499999999999
"381115",0.000500000000000034,0.00350000000000001,0.0120000000000002,0.00500000000000006
"382577",0.545750000000001,0.529500000000001,0.237874999999999,0.00224999999999998
"382777",0.988875,0.942999999999999,0.739625000000001,0.804249999999999
"385501",0.106,0.0204999999999999,0.0122500000000001,0.000250000000000005
"385649",0.00325000000000002,0.00337499999999995,0.92975,0.00562499999999994
"385808",0.0522499999999996,0.304249999999999,0.9885,0.990625
"386162",0.663624999999999,0.664875,0.876,0.623749999999999
"388340",0.995875,0.975,0.819374999999999,0.966
"388799",0.97825,0.919125,0.89875,0.791125
"390016",0.0400000000000002,0.0603749999999999,0.7555,0.14575
"390111",0.934,0.942249999999999,0.997,0.9765
"390509",0.98075,0.991625,0.979375,0.95325
"391313",0.956625,0.963875,0.929000000000001,0.997625
"392725",0.0498749999999999,0.1555,0.067375,0.027875
"393839",0.89875,0.10275,0.865125,0.0285
"394028",0.315125,0.442624999999998,0.0444999999999999,0.00700000000000002
"394295",0.970375,0.9905,0.269875000000001,0.793875
"394485",0.986125,0.5405,0.98775,0.0130000000000001
"394832",0.9895,0.941,0.989625,0.238
"395292",0.999375,0.9815,0.974875,0.98925
"396911",0.0456249999999999,0.0582499999999999,0.909875,0.3765
"398808",1,0.996125,0.99375,0.9985
"399427",0.99925,0.980625,0.9895,0.952375
"399617",0.0253749999999997,0.00775000000000015,0.743375,0.138875
"401359",0.000875000000000025,0.00437500000000002,0.0512500000000004,0.00524999999999986
"402102",0.00237500000000009,0.0372499999999999,0.029375,0.00387500000000001
"402662",0.000124999999999995,0.00524999999999989,0.00512499999999998,0.0547500000000001
"404193",0.01525,0.00425000000000003,0.72825,0.0298749999999999
"404358",0.000250000000000015,0.0391249999999999,0.000124999999999991,0.000749999999999993
"404542",0.999375,0.8225,0.969,0.518875
"404672",0.191625,0.0441250000000001,0.71925,0.22875
"405844",0.604375,0.8325,0.0240000000000001,0.0105
"406082",0.0397500000000001,0.143125,0.345375,0.666000000000002
"406656",0.974875,0.554875,0.9905,0.10875
"406854",0.0164999999999999,0.0107500000000002,0.8235,0.444125
"407980",0.000749999999999989,0.00425000000000002,0.000875000000000023,0.00325
"408017",0.0432500000000001,0.0218750000000001,0.928875,0.06175
"408088",0.9995,0.96175,0.998625,0.9795
"408367",0.979125,0.827625,0.643125,0.0402499999999999
